Question,PlainTextAnswer,MLAI's ChatGPT Responses
Who can invest in tax saver FD?,"Indian citizens, senior citizens, HUFs and NRIs can invest in tax­saver fixed deposits.",
Will Fixed Deposit amount be automatically credited in our account on the maturity date?,"If auto renewal of FD is disabled, Fixed Deposit (FD) shall be closed on maturity and the closure proceedings will be credited to the linked savings account.If auto renewal of FD is enabled,a new FD would be automatically created with the maturity proceeds of the old FD  as the principal amount.",
How to open a Flexi Fixed Deposit/ Money Multiplier Deposit?,"Currently through iPal chatbot, we only offer creation of a standard FD. You can open a Flexi Fixed Deposit/ Money Multiplier Deposit from iMobile pay by following the below path: iMobile Pay: iMobile pay home page > Accounts and deposits > deposits > Open FD > Click on the money multiplier option inside the investment period.",
What is FD Income?,"FD Income offers regular monthly income to customers for the choice of their tenure from the month of its creation.Currently through voice banking we only offer to create standard FD. In which interest gets paid on maturity. You can open monthly FD income by follwing to path: On iMobile pay home page go to accounts and deposits tab click on deposits, click on FD income.",
Where can I see the FD maturity amount?,"During the FD journey you can check your maturity amount or interest amount at the review page after selecting the deposit amount, tenure etc.",
How can I download the FD advice?,You can download the FD advice through internet banking. Login to internet banking > Bank accounts > deposits > Manage your Fixed Deposits > Select the required FD number > Download Fixed Deposit Advice > Click on proceed > Select the option to download or send on registered e-mail ID > Click on submit.,
What is the range of tenure for which I can open a Fixed Deposit account ?,You can deposit money for as short a period as 7 days and up to a maximum tenure of 10 years.,
How do I open a Tax Saver Fixed Deposit?,Currently we only offer standard FD (Regular FD) on iPal chatbot.  To Open Tax saver FD follow this path on your iMobile Pay app: iMobile Pay home page > Accounts and Deposit Tab > Deposits > Open FD > Click on the 'Tax Saver (5 Year) option' on the Graph.,
What is FD Credit Card?,FD Card offers customers a Credit Card against their Fixed Deposit with 85% of FD value as limit on Credit Card. Once the FD is created you can apply for the FD credit card.,
How do I start or stop auto renewal of my Fixed Deposit?,"Auto renewal allows your FD to get renewed automatically for the same period as the original deposit. You can start or stop the auto renewal of your FD even after it is created and before the FD matures. To start or stop autorenewal facility: login to your Internet Banking, go to Bank accounts, click on Deposits,  click on the turn on or off the auto-renewal button shown against the relevant fixed deposit number.",
Can I do a partial closure of the FD?,"Partial withdrawal is permitted in units of Rs 1,000. The balance amount earns the original rate of interest. Fixed Deposit (FD) can be closed before its original term by following the path: iMobile Pay home Page > Accounts and Deposit Tab > Deposits > Click on desired FD number > More options > Click on Pre-mature or Partial closure as per your requirement.",
What is the maximum interest I can earn on my FD?,Maximum interest rate currently being offered is 7.1% per annum for a standard FD of tenure between 15 Months to 2 years.  Senior citizens can enjoy additional 0.5% higher interest on Fixed Deposits.,
Menu Flow,"{""title"":"""",""options"":[{""title"":""Savings Account"",""content"":""2338851373"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Credit card"",""content"":""2324760933"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Personal Loan"",""content"":""2324761363"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Fixed Deposit"",""content"":""2338849943"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Home Loan"",""content"":""2338850583"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Send Money"",""content"":""2140528663"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Track Service Request"",""content"":""nanorep://#trackyourservice"",""type"":""persist"",""kind"":""url"",""options"":[]},{""title"":""Offers"",""content"":""nanorep://#offers"",""type"":""persist"",""kind"":""url"",""options"":[]},{""title"":""Customer care number"",""content"":""2167015343"",""type"":""persist"",""kind"":""articleId"",""options"":[]}],""content"":""How can I help you?""}",
How do I open a Fixed Deposit?,"{""title"":"""",""options"":[{""title"":""Back To Menu"",""kind"":""articleId"",""type"":""quick"",""events"":[],""content"":""2324760103""}],""content"":""Investing in a safe and secure investment option like FD is always a good choice. There are many types of Fixed Deposits that you can invest in such as long term FD, Tax saver FD, money multiplier FD and special rates FD. We also offer higher interest for senior citizens.You can login to your internet banking and apply for Fixed Deposit now. You can login here ""https://infinity.icicibank.com/corp/AuthenticationController?FORMSGROUP_ID__=AuthenticationFG&__START_TRAN_FLAG__=Y&FG_BUTTONS__=LOAD&ACTION.LOAD=Y&AuthenticationFG.LOGIN_FLAG=1&BANK_ID=ICI&CTA_FLAG=DEPOSIT&ITM=nli_cms_FD_index_existingcust_btn&_gl=1*idelcg*_ga*ODU2MTM1NDU4LjE2MTQ3NDI3NjE.*_ga_SKB78GHTFV*MTYyMzc2ODkyMS4yMDcuMS4xNjIzNzcwNTAyLjYw&_ga=2.191961583.497956980.1623566821-856135458.1614742761 . To learn more watchan iPlay video by clicking here ""https://www.youtube.com/embed/1hErBNXp4LY?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal ."",""isCTA"":true}",
Menu,"{""queryResult"":{""intent"":{""displayName"":""""},""responseMessages"":[{""text"":{""text"":[""Hi, I am iPal - ICICI Bank Chatbot. I'm here to help you with any questions you have today.  </br>  </br> Click on the 'Menu' button below to get started with your banking needs.""]}},{""payload"":{""fields"":{""richContent"":[{""options"":[{""title"":""Menu"",""content"":""2356414563"",""kind"":""chips"",""type"":""quick"",""options"":[],""backToMenu"":false},{""title"":""Apply Online"",""content"":""2394126153"",""kind"":""chips"",""type"":""quick"",""options"":[],""backToMenu"":false,""articleId"":""2394126153""},{""title"":""Prepaid/ Recharge"",""content"":"""",""kind"":""chips"",""type"":""persistent"",""options"":[],""backToMenu"":false,""redirectUrl"":""nanorep://#reCharge""},{""title"":""What's new on iMobile"",""content"":""2338911113"",""kind"":""chips"",""type"":""quick"",""options"":[],""backToMenu"":false,""articleId"":""2338911113""},{""title"":""Voice Banking"",""content"":""Voice Banking"",""kind"":""chips"",""type"":""quick"",""options"":[],""backToMenu"":false,""articleId"":"""",""voiceBanking"":true,""resetDFRetry"":true}],""title"":"""",""subtitle"":"""",""content"":"""",""horizontalChips"":true,""type"":""quick"",""kind"":""chips""}]}}}]}}",
Can the ICICI Bank Insta credit card be given to the Secondary account holder in case of joint Fixed Deposit account?,Only the primary Fixed Deposit holder is eligible for the ICICI Bank Instant Credit Card.,
How can I increase Credit limit on my Fixed deposit Insta card?,"Credit limit on your ICICI Bank Instant Credit Card is assigned based on your Fixed Deposit (FD) amount. If you wish to have higher limit on your ICICI Bank Instant Credit Card, you may close or cancel the existing FD and credit card and apply for a new FD with higher amount.",
Can I close Fixed deposit account and keep the credit card active?,The credit card issued agaist Fixed Depsoit has to be cancelled if you want to close the fixed deposit account.,
Where can I see my FD details once it has been created?,"The FD created on iPal chatbot can be seen on iMobile pay or internet banking after logging in alongwith your other fixed deposits, if any. To see and manage the details of your FD follow the path below: iMobile Pay: Accounts and Deposit Tab > Deposits > Click on desired FD number Internet Banking: Bank accounts > Deposits",
How many types of Fixed deposits are available?,"Currently through iPal chatbot, we offer standard or regular FD. From iMobile Pay app, you can create below types of Fixed Deposit: 1. Standard FD (Regular FD)2. Money Multiplier FD (Flexi FD)3. Tax Saver FD",
How can I open FD of more than 2 Crore?,"You can create FD of more than 2 Crore but less than 5 Crore rupees through internet banking: Login to internet banking > Bank accounts > deposits > Create FD. To open FD of more than 5 Crores, please visit the nearest ICICI bank branch.",
Is it advisable to create 1 FD of a large value or break it into multiple FDs of smaller values?,"The interest and amount on maturity would be same in both of these cases. Having one single FD would be easier to manage as it will have a single FD number. You also have an option of partial closure of Fixed deposits in units of 1000. In case of multiple FDs, you have the option of pre-maturely closing a few FDs based on financial need, while keeping the others intact and continue to earn interest on them. You can also try money multiplier (flexi FD). Money multiplier FD automatically breaks in LIFO (last in first out) order of 5000 Rupees once the balance in your savings account drops below 10,000 Rupees",
How to change interest payout of this fixed deposit?,"FD created on iPal chatbot is an instant voice-banking enabled FD which only allows interest payout on maturity. The maturity value is higher in case of interest paid on maturity as, unlike monthly or quarterly interest payouts, the interest is compounded quarterly and reinvested with the principal amount.Incase you wish to opt for quaterly or monthly payout FD,  you can create it on your iMobile pay app under the deposits section.",
What is the difference between money multiplier FD and standard FD ?,"In Money multiplier Fixed Deposits (FD), an automatic reverse sweep will be enabled of an amount to equate the balance to ₹10,000 when the balance in the Savings Account falls below ₹10,000.In standard Fixed Deposit (FD) there is no reverse sweep facility and if you want to withdraw the amount, you need to close the Fixed deposit or opt for a partial withdrawal in units of Rs 1000.",
What is the tax saver FD investment limit?,"The minimum investment that can be made in a tax­saving fixed deposit is ₹10,000 while the maximum is ₹1.5 lakh in a year.",
What are the features of Fixed Deposit?,"The benefits of ICICI Bank Fixed Deposits are mentioned below:Higher interest rates as compared to amount parked in Savings accountA wide range of tenures, ranging from 7 days to 10 years, to suit your investment planPartial withdrawal is permitted in units of Rs 1,000. The balance amount earns the original rate of interestSafe custody of your fixed deposit receipts with facility of automatic renewalLoan facility is available up to 90% of principal and accrued interest.",
Can I modify the Fixed Deposit tenure once created?,"No. Once Fixed Deposit (FD) has been created, it cannot be modified. You may close the existing FD and create a new FD to make any modifications.For new FD, the date the FD gets created will be considered for interest calculation.",
Why is there a difference in the maturity amount of fixed deposit?,"Cumulative or Reinvest: Cumulative Fixed Deposits are fixed deposits where interest is compounded quarterly and reinvested with the principal amount.Traditional Fixed Deposit: Traditional Fixed Deposits are fixed deposits where interest is paid at regular intervals, i.e. Quarterly or Monthly, as requested by the customer(s), at the time of creating the fixed deposits.Maturity value shall mean the amount payable to the customer at the end of the term of the fixed deposit, subject to deduction of any tax as may be applicable.The maturity value is higher incase of cumulative FD since interest earned is reinvested with the principal amount. On iPal chatbot, we currently offer cumulative FD (where interest is paid at the time of maturity).",
How do I redeem my Tax Saver FD?,"Tax Saver FDs will be credited in your savings account on maturity.The amount invested in a tax­ saver fixed deposit is eligible for tax exemption under Section 80C. This amount can be a maximum of ₹1.5 lakh a year. In case of joint holders, the tax benefit is available to only the first holder.",
What is the tenure of a tax saver FD?,"Tax­saver fixed deposits have a lock­in period of 5 years. No premature withdrawals, loans or overdraft facilities are available against tax saver FDs.",
How many FDs can I create in a day?,There is no limit on the number of FDs that can be created per day.,
"In case of FDs opened in joint mode, will the benefit be extended to both the account holders?",All the FD benefit are available to first holder only.,
How to know about the Flexi Fixed Deposit features ?,"With effect from July 1, 2005, the auto-sweep (Quantum Optima) facility in the Savings Account has been withdrawn. Instead, the Linked Fixed Deposit (LFD) or money multiplier deposit has been introduced, which will be created on specific request from the customer.Features of LFD:Minimum balance in the Savings Account should be ₹15,000 to generate LFD request.LFD requests will be made in multiples of ₹5,000 only.You may have more than one LFD linked to the same account.Specific request has to be given for each LFD creation.The LFDs will be under the same Customer ID.LFDs linked to the account will be enabled for automatic reverse sweep of an amount to equate the balance to ₹10,000 when the balance in the Savings Account falls below ₹10,000.LFDs will be broken in LIFO (Last In First Out) basis for reverse sweep.",
Can I update nominee in Fixed Deposit/Recurring Deposit account online?,"You can view/update the nominee in your deposit Account.Log in to your Internet Banking, Go to Customer service > Deposits > Fixed Deposit/Recurring Deposit > click on Nominee updated tab and update.",
What are the multiples in which I can withdraw money from my Fixed Deposit (FD) ?,"You can withdraw money from your fixed deposit account in multiples of ₹1,000.",
Which type of FD earns the maximum interest value?,"The highest interest rate depends on the tenure of the fixed deposit. Current maximum interest rate is <7%>  per annum which can be earned by creating a Fixed Deposit for a tenure between <3 Years> to <5 Years>.The maturity value is higher in case of interest paid on maturity, unlike monthly or quarterly interest payouts, the interest is compounded quarterly and reinvested with the principal amount.",
How can I close a fixed deposit once it is created?,"If auto renewal of your Fixed Deposit (FD) is tuned off, the FD will be closed automatically on maturity date and the maturity amount will be credited to the linked savings account. If auto renewal is active, FD would be recreated for the same tenure and the principal amount of new FD would be the maturity amount of the original FD.  You can also do premature or partial closure of your FD",
What is Overdraft (loan) against my existing Fixed Deposit?,"In case of emergency requirement instead of liquidating your existing fixed deposit, you can go for an Overdraft against FD. It is a loan against FD that can be given as an overdraft.The benefits of availing overdraft against FD are –1.    Immediate funds for short term requirements 2.    Lower Interest rates 3.    90% Overdraft against your FD Investment Amount4.    No repayment chargesTo get an overdraft against your existing FD: login to imobile pay, go to Accounts and Deposits click on OD against FD and fill the amount details.",
What is CIBIL?,Credit Information Bureau (India) Limited (CIBIL) is an informative database of all customers having any kind of financial liabilities (past/ current and good/ bad) with all the financial institutions. This database is updated by all the financial institutions on a periodic basis with regards to the payment track of customer.Please click on the below mentioned link to know more about CIBIL:https://www.icicibank.com/cibil.page https://www.icicibank.com/cibil.page  To learn how to check your cibil score watchan iPlay video by clicking here https://www.youtube.com/embed/iDuVTa-LB1w?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal .,
How to make ICICI bank credit card payment ?,"{""title"":"""",""options"":[{""title"":""Back To Menu"",""kind"":""articleId"",""type"":""quick"",""events"":[],""content"":""2324760103""}],""content"":""To pay Credit Card bill, Please click here ""https://infinity.icicibank.com/corp/AuthenticationController?FORMSGROUP_ID__=AuthenticationFG&__START_TRAN_FLAG__=Y&FG_BUTTONS__=LOAD&ACTION.LOAD=Y&AuthenticationFG.LOGIN_FLAG=1&BANK_ID=ICI&CTA_FLAG=ICCPAY .You may also log in to iMobile Pay app, go to 'Card & Forex' icon available on the homepage. Select your card and make payment.To pay an ICICI Bank credit  card bill using Internet Banking you can watch a demo video by clicking here ""https://www.youtube.com/embed/F0xYL-MuUmA?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal ."",""isCTA"":true}",
